Ano Fato,Data Fato,Data_Hora Fato,Horário Fato,Dia da Semana Fato,Latitude,Longitude,Município,Tentado/Consumado Nat Principal,Desc Longa Subgrupo Complemento Nat,Causa Presumida
2015,4/12/2015,12/04/2015 03:00:00,03:00:00,DOMINGO,-21.44162724,-45.94899021,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2015,4/12/2015,12/04/2015 22:05:00,22:05:00,DOMINGO,-21.42031240,-45.94579290,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),VANTAGEM ECONOMICA
2015,4/14/2015,14/04/2015 19:45:00,19:45:00,TERÇA-FEIRA,-21.41610590,-45.95724380,ALFENAS,CONSUMADO,BENS/VALORES DE MORADOR / VISITANTE DE RESIDENCIA,IGNORADO
2015,4/14/2015,14/04/2015 23:00:00,23:00:00,TERÇA-FEIRA,-21.42584150,-45.93296360,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2015,4/15/2015,15/04/2015 12:20:00,12:20:00,QUARTA-FEIRA,-21.42877180,-45.94684750,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,ENVOLVIMENTO COM DROGAS
2015,4/15/2015,15/04/2015 23:00:00,23:00:00,QUARTA-FEIRA,-21.41735980,-45.96223950,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,4/15/2015,15/04/2015 23:27:00,23:27:00,QUARTA-FEIRA,-21.44140180,-45.96598470,ALFENAS,TENTADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
2015,4/16/2015,16/04/2015 19:56:00,19:56:00,QUINTA-FEIRA,-21.43219100,-45.93733220,ALFENAS,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,IGNORADO
2015,4/16/2015,16/04/2015 22:40:00,22:40:00,QUINTA-FEIRA,-21.41006790,-45.95986310,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),VANTAGEM ECONOMICA
2015,4/17/2015,17/04/2015 16:00:00,16:00:00,SEXTA-FEIRA,-21.41074970,-45.94365140,ALFENAS,CONSUMADO,BENS/VALORES DE PROPRIETARIO/FUNCIONARIO DE ESTABELECIMENTO,IGNORADO
2015,4/17/2015,17/04/2015 16:10:00,16:10:00,SEXTA-FEIRA,-21.42499510,-45.94537630,ALFENAS,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,VANTAGEM ECONOMICA
